Instituto Nacional de Estadística y Geografía,,,,,,,,,,,
INEGI. Censos Económicos 2024. Resultados definitivos,,,,,,,,,,,
Fecha de la consulta: 22/09/2025 01:39:41,,,,,,,,,,,
,,,,,,,,,,,
"Año Censal","Entidad","Municipio","Actividad económica","H001A Personal ocupado total","A111A Producción bruta total (millones de pesos)","A121A Consumo intermedio (millones de pesos)","A131A Valor agregado censal bruto (millones de pesos)","A211A Inversión total (millones de pesos)","A221A Formación bruta de capital fijo (millones de pesos)","Q000A Acervo total de activos fijos (millones de pesos)",
2023,"28 Tamaulipas","011 Gómez Farías","Sector 31-33 Industrias manufactureras",196,182.933,51.026,131.907,0.201,-0.286,44.480,
2023,"28 Tamaulipas","011 Gómez Farías","Sector 43 Comercio al por mayor",10,4.009,0.341,3.668,-0.062,-0.072,1.259,
2023,"28 Tamaulipas","011 Gómez Farías","Sector 46 Comercio al por menor",171,22.167,7.281,14.886,-0.398,-0.110,22.222,
2023,"28 Tamaulipas","011 Gómez Farías","Sector 48-49 Transportes, correos y almacenamiento",,,,,,,,
2023,"28 Tamaulipas","011 Gómez Farías","Sector 52 Servicios financieros y de seguros",,,,,,,,
2023,"28 Tamaulipas","011 Gómez Farías","Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles",,,,,,,,
2023,"28 Tamaulipas","011 Gómez Farías","Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",,,,,,,,
2023,"28 Tamaulipas","011 Gómez Farías","Sector 62 Servicios de salud y de asistencia social",5,0.605,0.217,0.388,0.000,0.000,0.864,
2023,"28 Tamaulipas","011 Gómez Farías","Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",,,,,,,,
2023,"28 Tamaulipas","011 Gómez Farías","Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas",189,117.763,64.814,52.949,0.311,0.308,41.898,
2023,"28 Tamaulipas","011 Gómez Farías","Sector 81 Otros servicios excepto actividades gubernamentales",44,2.961,0.795,2.166,-0.051,-0.051,2.340,
2023,"28 Tamaulipas","012 González","Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",87,6.699,2.236,4.463,-0.002,-0.002,13.037,
2023,"28 Tamaulipas","012 González","Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,,,,,
2023,"28 Tamaulipas","012 González","Sector 23 Construcción",,,,,,,,
2023,"28 Tamaulipas","012 González","Sector 31-33 Industrias manufactureras",706,284.187,184.275,99.912,0.530,1.316,129.232,
2023,"28 Tamaulipas","012 González","Sector 43 Comercio al por mayor",405,412.335,94.254,318.081,19.341,17.880,250.870,
2023,"28 Tamaulipas","012 González","Sector 46 Comercio al por menor",2239,501.932,115.925,386.007,4.864,4.532,292.016,
